user_id,user_name,category,item_name,count
U002,이민수,무기,달빛활,2
U002,이민수,무기,용맹도끼,1
U002,이민수,방어구,강철갑옷,1
U002,이민수,방어구,기사투구,1
U002,이민수,소모품,귀환 주문서,8
U002,이민수,소모품,은신 물약,6
U002,이민수,소모품,민첩의 비약,3
U002,이민수,소모품,부활 깃털,2
U002,이민수,소모품,수호의 두루마리,8
U003,박서준,무기,폭풍창,2
U003,박서준,무기,달빛활,2
U003,박서준,방어구,태양망토,1
U003,박서준,방어구,수호방패,1
U003,박서준,소모품,수호의 두루마리,5
U003,박서준,소모품,민첩의 비약,3
U003,박서준,소모품,고급 회복 물약,7
U003,박서준,소모품,마나 물약,5
U004,최유진,무기,암흑단검,1
U004,최유진,무기,사냥꾼활,2
U004,최유진,무기,맹독창,1
U004,최유진,무기,폭풍창,2
U004,최유진,방어구,은빛갑옷,1
U004,최유진,방어구,용비늘갑옷,1
U004,최유진,소모품,해독제,5
U004,최유진,소모품,은신 물약,1
U004,최유진,소모품,정비 키트,3
U005,정하늘,무기,천둥망치,2
U005,정하늘,무기,사냥꾼활,2
U005,정하늘,무기,유성지팡이,2
U005,정하늘,방어구,용비늘갑옷,1
U005,정하늘,방어구,철제장화,1
U005,정하늘,방어구,수호반지,1
U005,정하늘,소모품,은신 물약,2
U005,정하늘,소모품,회복 물약,8
U005,정하늘,소모품,민첩의 비약,7
U005,정하늘,소모품,화염 폭탄,1
U005,정하늘,소모품,수호의 두루마리,4
U006,한지민,무기,폭풍창,2
U006,한지민,무기,용맹도끼,1
U006,한지민,방어구,은빛갑옷,1
U006,한지민,방어구,정찰망토,1
U006,한지민,소모품,회복 물약,2
U006,한지민,소모품,고급 회복 물약,4
U006,한지민,소모품,정비 키트,7
U006,한지민,소모품,마나 물약,3
U006,한지민,소모품,은신 물약,5
U007,오세훈,무기,유성지팡이,1
U007,오세훈,무기,사냥꾼활,1
U007,오세훈,무기,용맹도끼,2
U007,오세훈,방어구,은빛갑옷,1
U007,오세훈,방어구,가죽장갑,1
U007,오세훈,소모품,민첩의 비약,5
U007,오세훈,소모품,정비 키트,8
U007,오세훈,소모품,부활 깃털,3
U007,오세훈,소모품,고급 회복 물약,1
U008,유다은,무기,천둥망치,2
U008,유다은,무기,사냥꾼활,2
U008,유다은,방어구,태양망토,1
U008,유다은,방어구,철제장화,1
U008,유다은,소모품,화염 폭탄,3
U008,유다은,소모품,부활 깃털,6
U008,유다은,소모품,고급 회복 물약,4
U009,장민혁,무기,천둥망치,1
U009,장민혁,무기,맹독창,1
U009,장민혁,무기,사냥꾼활,2
U009,장민혁,무기,폭풍창,2
U009,장민혁,방어구,수호방패,1
U009,장민혁,방어구,마법로브,1
U009,장민혁,소모품,해독제,5
U009,장민혁,소모품,정비 키트,4
U009,장민혁,소모품,화염 폭탄,6
U009,장민혁,소모품,민첩의 비약,8
U009,장민혁,소모품,힘의 두루마리,6
U010,신예린,무기,화염검,2
U010,신예린,무기,폭풍창,2
U010,신예린,무기,맹독창,1
U010,신예린,방어구,가죽장갑,1
U010,신예린,방어구,수호방패,1
U010,신예린,소모품,해독제,2
U010,신예린,소모품,민첩의 비약,7
U010,신예린,소모품,귀환 주문서,4
U010,신예린,소모품,회복 물약,8
U011,조현우,무기,암흑단검,1
U011,조현우,무기,철벽검,1
U011,조현우,방어구,은빛갑옷,1
U011,조현우,방어구,마법로브,1
U011,조현우,방어구,가죽장갑,1
U011,조현우,소모품,정비 키트,3
U011,조현우,소모품,고급 회복 물약,8
U011,조현우,소모품,마나 물약,3
U011,조현우,소모품,귀환 주문서,8
U012,문가영,무기,사냥꾼활,1
U012,문가영,무기,서리창,1
U012,문가영,무기,천둥망치,1
U012,문가영,무기,유성지팡이,2
U012,문가영,방어구,강철갑옷,1
U012,문가영,방어구,태양망토,1
U012,문가영,소모품,은신 물약,4
U012,문가영,소모품,고급 회복 물약,5
U012,문가영,소모품,화염 폭탄,4
U012,문가영,소모품,마나 물약,6
U012,문가영,소모품,수호의 두루마리,5
U013,강태완,무기,암흑단검,1
U013,강태완,무기,서리창,2
U013,강태완,무기,은빛검,1
U013,강태완,무기,사냥꾼활,1
U013,강태완,방어구,빙결갑옷,1
U013,강태완,방어구,수호반지,1
U013,강태완,방어구,철제장화,1
U013,강태완,소모품,화염 폭탄,3
U013,강태완,소모품,마나 물약,3
U013,강태완,소모품,정비 키트,3
U013,강태완,소모품,은신 물약,8
U014,윤서아,무기,맹독창,1
U014,윤서아,무기,화염검,2
U014,윤서아,무기,천둥망치,1
U014,윤서아,무기,은빛검,1
U014,윤서아,방어구,빙결갑옷,1
U014,윤서아,방어구,철제장화,1
U014,윤서아,방어구,태양망토,1
U014,윤서아,소모품,민첩의 비약,8
U014,윤서아,소모품,고급 회복 물약,1
U014,윤서아,소모품,화염 폭탄,2
U014,윤서아,소모품,회복 물약,8
U014,윤서아,소모품,해독제,6
U015,임도현,무기,천둥망치,1
U015,임도현,무기,유성지팡이,2
U015,임도현,무기,맹독창,1
U015,임도현,무기,폭풍창,2
